date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:59:26	71065/71065	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:25%20GMT	https://www.thehealthsite.com/marathi/beauty/mushroom-face-pack-benifits-for-the-skin-make-it-this-way-in-marathi-809974/	C:/heath/heath/www.thehealthsite.com/marathi/beauty/mushroom-face-pack-benifits-for-the-skin-make-it-this-way-in-marathi-809974/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:26	88540/88540	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:25%20GMT	https://www.thehealthsite.com/marathi/topics/baldness/	C:/heath/heath/www.thehealthsite.com/marathi/topics/baldness/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:27	73906/73906	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:27%20GMT	https://www.thehealthsite.com/marathi/beauty/boys-should-follow-these-grooming-tips-to-look-handsome-in-marathi-804808/	C:/heath/heath/www.thehealthsite.com/marathi/beauty/boys-should-follow-these-grooming-tips-to-look-handsome-in-marathi-804808/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:28	82398/82398	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:27%20GMT	https://www.thehealthsite.com/marathi/fitness/aamir-khans-son-junaid-khans-drastic-weight-loss-see-the-pics-801144/	C:/heath/heath/www.thehealthsite.com/marathi/fitness/aamir-khans-son-junaid-khans-drastic-weight-loss-see-the-pics-801144/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:30	83875/83875	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:29%20GMT	https://www.thehealthsite.com/marathi/topics/cell-phone/	C:/heath/heath/www.thehealthsite.com/marathi/topics/cell-phone/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:30	75564/75564	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:29%20GMT	https://www.thehealthsite.com/marathi/fitness/why-you-need-to-add-makhanas-to-your-daily-diet-n0817-511478/	C:/heath/heath/www.thehealthsite.com/marathi/fitness/why-you-need-to-add-makhanas-to-your-daily-diet-n0817-511478/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:30	83459/83459	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:29%20GMT	https://www.thehealthsite.com/marathi/topics/gluten-free/	C:/heath/heath/www.thehealthsite.com/marathi/topics/gluten-free/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:31	83650/83650	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:30%20GMT	https://www.thehealthsite.com/marathi/topics/aamir-khan/	C:/heath/heath/www.thehealthsite.com/marathi/topics/aamir-khan/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:32	71154/71154	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:31%20GMT	https://www.thehealthsite.com/marathi/fitness/how-to-deal-weight-fluctuation-n0717-508393/	C:/heath/heath/www.thehealthsite.com/marathi/fitness/how-to-deal-weight-fluctuation-n0717-508393/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:32	89488/89488	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:31%20GMT	https://www.thehealthsite.com/marathi/topics/body-fat/	C:/heath/heath/www.thehealthsite.com/marathi/topics/body-fat/index.html	(from https://www.thehealthsite.com/marathi/)
06:59:32	116230/116230	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Sep%202022%2013:59:31%20GMT	https://www.thehealthsite.com/marathi/topics/common-query/	C:/heath/heath/www.thehealthsite.com/marathi/topics/common-query/index.html	(from https://www.thehealthsite.com/marathi/)
